921 57
0.0 0.0 0.72 0.0 2.91 0.0 0.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.45 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.373 0.0 0.124 0.124 0.0 1.781 12.0 114.0 
0.0 0.0 0.22 0.0 0.67 0.0 0.0 0.0 0.44 0.0 0.0 0.44 0.0 0.0 0.0 0.0 0.0 0.89 0.89 0.0 0.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.22 0.0 0.0 0.0 0.0 0.0 0.0 0.305 0.0 0.0 1.895 48.0 163.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.35 0.0 0.0 0.0 0.0 0.0 1.35 0.0 0.0 1.35 0.0 0.0 0.0 2.7 0.0 1.35 1.35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.836 0.0 0.0 3.285 19.0 92.0 
0.0 0.53 0.53 0.0 0.8 0.0 0.26 0.26 0.0 0.26 0.0 0.53 0.53 0.53 0.0 0.0 0.0 0.0 2.15 0.26 0.8 0.0 0.0 0.0 0.26 0.26 0.0 0.0 0.0 0.0 0.0 0.0 0.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 2.779 21.0 164.0 
0.0 0.0 0.89 0.0 1.79 0.44 0.0 0.0 0.0 0.0 0.0 0.44 0.0 0.0 0.0 1.34 0.0 0.0 2.24 0.0 4.48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.075 0.075 0.0 0.0 0.0 1.968 11.0 124.0 
0.0 0.0 0.34 0.0 0.0 0.0 0.34 0.0 0.0 0.34 0.0 0.34 0.0 0.0 0.0 0.68 0.34 0.34 0.68 0.34 0.34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.393 0.0 0.224 0.056 0.0 2.257 17.0 158.0 
0.0 0.0 0.52 0.0 1.58 0.0 1.05 0.0 0.0 1.05 0.52 1.58 0.0 0.0 0.0 0.52 0.0 0.0 1.05 0.0 0.52 0.0 0.0 0.0 0.52 0.52 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.0 2.82 23.0 110.0 
0.0 0.0 0.0 0.0 0.43 0.43 0.43 0.0 0.0 0.43 0.0 0.43 0.0 0.0 0.0 0.0 0.0 0.0 0.87 0.0 0.0 9.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.065 0.0 1.047 9.269 89.0 482.0 
0.0 0.0 0.67 0.0 0.27 0.27 0.13 0.0 0.13 0.27 0.0 0.4 0.4 0.0 0.0 0.0 0.27 0.0 0.0 0.0 0.0 0.0 0.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.109 0.0 0.021 0.0 0.0 1.728 12.0 204.0 
0.24 0.0 0.24 0.0 0.0 0.48 0.24 0.0 0.0 0.48 0.24 0.72 1.2 0.0 0.0 1.68 0.72 0.0 1.92 0.0 1.68 0.0 0.24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.677 0.828 0.15 4.333 52.0 429.0 
0.0 0.18 1.1 0.0 0.73 0.73 0.73 0.09 0.83 0.27 0.27 0.64 0.27 0.0 1.47 0.09 0.0 1.2 1.38 0.18 0.64 0.0 0.55 0.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18 0.0 0.09 0.09 0.0 0.0 0.0 0.094 0.0 0.432 0.135 0.013 8.445 696.0 1478.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.25 0.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 2.0 
0.0 0.0 0.34 0.0 0.0 0.0 0.34 0.0 0.0 0.34 0.0 0.34 0.0 0.0 0.0 0.68 0.34 0.34 0.68 0.34 0.34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.393 0.0 0.225 0.056 0.0 2.257 17.0 158.0 
0.68 0.17 0.51 0.0 0.34 0.0 0.51 0.0 0.0 0.51 0.0 0.51 0.51 0.17 0.17 0.34 0.17 1.02 4.96 0.0 1.36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.0 0.063 0.095 0.0 0.126 0.0 0.0 2.285 40.0 224.0 
0.0 1.15 0.86 0.0 0.57 0.28 0.57 0.0 0.0 0.28 0.0 0.57 0.0 0.0 0.0 1.72 0.0 0.86 4.32 0.0 2.01 0.0 0.0 0.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.142 0.0 0.19 0.0 3.423 6.584 56.0 349.0 
0.0 0.0 0.0 0.0 0.0 0.0 7.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.291 0.0 0.0 2.444 8.0 44.0 
0.0 0.0 0.75 0.0 0.75 0.0 0.5 0.25 0.0 1.01 0.0 0.25 1.51 0.0 0.75 0.0 0.0 1.51 2.02 0.0 1.51 0.0 0.75 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.078 0.0 0.432 0.432 0.0 2.375 19.0 247.0 
0.0 0.0 0.32 0.0 0.65 0.32 0.32 0.32 0.0 0.0 0.65 1.3 0.0 0.0 0.0 0.98 0.0 0.65 2.61 2.61 3.26 0.0 0.0 0.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.051 0.0 0.103 0.0 0.103 5.85 137.0 234.0 
0.0 0.67 0.67 0.0 0.5 0.0 0.16 0.16 0.0 0.0 0.0 0.33 0.67 0.67 0.5 0.0 0.0 0.0 2.52 0.5 1.51 0.0 0.0 0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.079 0.105 0.052 2.0 32.0 260.0 
0.0 0.66 0.66 0.0 0.49 0.0 0.16 0.16 0.0 0.0 0.0 0.33 0.66 0.49 0.66 0.0 0.0 0.0 2.47 0.49 1.48 0.0 0.0 0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.076 0.101 0.05 2.03 32.0 264.0 
0.0 0.69 0.69 0.0 0.51 0.0 0.17 0.17 0.0 0.0 0.0 0.34 0.69 0.69 0.69 0.0 0.0 0.0 2.59 0.51 1.55 0.0 0.0 0.17 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.079 0.106 0.053 2.0 32.0 260.0 
0.0 0.0 1.47 0.0 0.0 1.1 0.36 0.0 0.0 0.0 0.36 0.36 0.0 0.0 0.0 0.36 0.0 0.0 2.21 1.1 2.95 0.0 1.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.124 0.0 0.435 0.932 0.186 2.932 33.0 173.0 
0.46 0.33 0.2 0.0 0.13 0.53 0.06 0.2 0.0 1.13 0.33 0.66 0.93 0.0 0.2 0.0 0.0 0.0 3.6 0.0 1.13 0.0 0.13 0.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012 0.038 0.0 0.41 0.192 0.115 4.754 268.0 813.0 
0.0 0.0 0.56 0.0 0.0 0.0 0.0 0.0 0.0 1.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.69 0.0 0.56 2.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.493 0.197 0.394 0.0 0.394 3.537 22.0 237.0 
0.0 0.67 0.67 0.0 0.5 0.0 0.16 0.16 0.0 0.0 0.0 0.33 0.67 0.67 0.5 0.0 0.0 0.0 2.37 0.5 1.52 0.0 0.0 0.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08 0.107 0.053 2.015 32.0 258.0 
0.0 0.0 0.0 0.0 0.76 0.38 0.38 0.38 0.0 0.0 0.38 0.0 0.0 0.0 0.0 0.38 0.0 0.0 3.46 0.0 1.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.38 0.0 0.0 0.0 0.0 0.0 0.0 0.117 0.0 0.0 2.061 12.0 101.0 
0.0 0.0 0.0 0.0 0.93 0.0 0.0 0.0 0.0 0.93 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.8 0.0 2.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11.066 73.0 166.0 
0.0 0.0 0.0 0.0 3.69 0.56 0.0 0.56 0.56 0.56 0.0 0.0 0.0 0.0 0.0 0.0 3.4 0.0 0.85 1.13 0.56 0.0 0.0 0.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.092 0.0 0.371 0.046 0.0 14.58 97.0 452.0 
0.0 0.0 0.0 0.0 0.94 0.0 0.0 0.0 0.0 0.94 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.83 0.0 2.83 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10.533 65.0 158.0 
0.26 0.08 0.26 0.0 0.53 0.08 0.08 0.08 0.97 0.62 0.08 1.15 0.08 0.7 0.17 0.35 0.08 0.0 4.16 0.26 2.21 0.0 0.17 1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08 0.0 0.0 0.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.044 0.0 0.339 0.162 0.014 4.137 74.0 753.0 
0.0 0.47 0.47 0.0 1.41 0.0 0.47 0.0 0.0 0.47 0.47 0.94 0.0 0.0 0.0 0.94 0.0 0.0 1.88 0.0 0.94 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.224 0.0 0.0 1.102 6.0 54.0 
0.0 0.89 0.0 0.0 0.89 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.89 0.0 0.0 0.89 0.0 0.0 6.25 2.67 1.78 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.89 0.0 0.0 0.0 0.0 0.89 0.0 0.0 0.0 0.0 0.0 0.0 1.129 0.483 0.0 1.826 10.0 42.0 
0.0 0.0 0.18 0.0 0.55 0.37 0.18 0.18 0.0 0.18 0.0 0.18 0.0 0.0 0.0 0.0 0.0 0.0 0.74 0.0 0.37 0.0 0.18 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.55 0.0 0.0 0.74 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.081 0.0 0.0 0.027 1.625 2.326 11.0 363.0 
0.17 0.0 0.17 0.0 1.45 0.34 0.05 0.05 0.05 0.05 0.05 0.52 0.29 0.05 0.0 0.0 0.69 0.05 4.24 0.23 1.04 0.0 0.75 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.051 0.0 0.02 0.163 0.0 1.796 12.0 460.0 
0.0 0.0 0.0 5.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.16 0.0 0.0 0.77 0.0 0.0 7.36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.431 0.0 0.0 0.215 0.0 0.539 7.552 43.0 506.0 
0.0 0.0 0.44 0.0 1.32 0.0 0.44 0.0 0.0 1.32 0.0 0.0 0.0 0.0 0.0 0.0 0.44 0.0 4.42 0.0 3.09 0.0 0.0 0.44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.301 0.0 0.301 0.0 0.0 2.787 19.0 131.0 
0.49 0.0 0.74 0.0 0.24 0.24 0.24 0.49 0.0 0.0 0.49 2.24 0.0 0.0 0.0 0.49 0.99 0.24 3.99 0.0 1.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.035 0.0 0.315 0.035 0.0 4.071 60.0 228.0 
0.0 0.0 0.0 0.0 0.52 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.52 0.0 0.52 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.52 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.52 0.0 0.0 1.56 0.0 0.0 0.0 0.077 0.0 0.077 0.0 0.0 1.388 11.0 75.0 
0.0 0.0 0.0 0.0 0.0 1.29 0.0 0.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.87 0.0 0.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.179 0.117 0.0 1.8 12.0 63.0 
0.42 0.0 0.42 0.0 2.53 0.42 0.42 0.0 0.0 0.84 0.42 0.84 0.0 0.0 0.0 1.68 0.0 0.0 2.95 0.0 2.1 0.0 2.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.291 0.0 0.072 1.457 0.072 2.632 12.0 179.0 
0.0 0.0 0.0 0.0 3.98 0.44 0.0 0.44 0.0 0.88 0.0 0.0 0.0 0.0 0.0 0.88 0.0 0.0 0.88 0.44 1.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.44 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.257 0.0 0.064 0.128 0.0 2.215 23.0 113.0 
0.0 0.0 0.0 0.0 0.49 0.0 0.98 0.0 0.49 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.47 0.0 2.46 0.0 0.49 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.49 0.0 0.0 0.0 0.0 0.0 0.0 0.466 0.0 0.0 0.0 0.0 2.373 12.0 197.0 
0.09 0.19 0.98 0.0 0.78 0.78 0.49 0.0 0.78 0.19 0.29 0.68 0.29 0.0 1.57 0.09 0.0 1.08 1.28 0.19 0.68 0.0 0.59 0.09 0.09 0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.19 0.0 0.09 0.09 0.0 0.0 0.0 0.102 0.0 0.393 0.145 0.014 8.323 669.0 1415.0 
0.0 0.0 0.0 0.0 0.0 0.0 1.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.496 0.0 0.0 0.0 0.248 1.985 3.15 12.0 63.0 
0.17 0.0 0.17 0.0 1.47 0.35 0.0 0.05 0.05 0.05 0.05 0.52 0.29 0.05 0.0 0.0 0.7 0.0 4.17 0.23 1.11 0.0 0.76 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.051 0.0 0.01 0.165 0.0 1.79 12.0 453.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.06 0.0 0.0 0.0 0.0 0.0 0.0 9.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4 14.0 24.0 
0.09 0.0 0.27 0.0 0.36 0.09 0.0 0.18 0.09 0.0 0.0 0.81 0.0 0.36 0.0 0.0 0.0 0.0 1.99 0.0 3.35 0.0 0.36 0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.27 0.0 0.0 0.0 0.015 0.047 0.031 0.253 0.031 0.031 3.771 69.0 528.0 
0.0 0.0 0.55 0.0 0.22 0.22 0.11 0.0 0.11 0.22 0.0 0.33 0.33 0.0 0.0 0.0 0.22 0.0 0.0 0.0 0.0 0.0 0.55 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16 0.0 0.035 0.124 0.0 1.98 14.0 305.0 
0.0 0.0 0.0 0.0 0.64 0.0 0.64 0.0 0.0 0.0 0.0 0.64 0.64 0.0 0.0 0.0 0.0 0.0 3.89 1.29 1.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.64 0.0 0.0 0.0 0.0 0.64 0.0 0.0 0.0 0.0 0.115 0.0 0.921 0.345 0.0 1.833 11.0 55.0 
0.0 0.95 0.95 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.47 0.47 1.9 0.0 0.0 0.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.066 0.2 0.0 0.267 0.0 0.0 4.18 45.0 464.0 
0.0 0.0 0.54 0.0 0.21 0.21 0.1 0.0 0.1 0.21 0.0 0.21 0.32 0.0 0.0 0.0 0.21 0.0 0.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.152 0.0 0.033 0.118 0.0 1.987 14.0 306.0 
